bracket_min,bracket_max,number,mean,std_err
0,5000,4235000,1080000,40000
5000,9999,4071000,8018000,31000
10000,14999,6324000,12397000,30000
15000,19999,6470000,17297000,29000
20000,24999,6765000,22199000,28000
25000,29999,6222000,27116000,30000
30000,34999,6354000,32027000,31000
35000,39999,5743000,37115000,28000
40000,44999,5203000,41973000,37000
45000,49999,5002000,47180000,34000
50000,54999,5078000,51900000,31000
55000,59999,4140000,57119000,41000
60000,64999,4367000,61940000,38000
65000,69999,3733000,67102000,42000
70000,74999,3683000,72115000,41000
75000,79999,3650000,77022000,38000
80000,84999,3354000,82056000,42000
85000,89999,2893000,87165000,44000
90000,94999,2850000,92019000,49000
95000,99999,2452000,97107000,49000
100000,104999,2792000,101908000,42000
105000,109999,2232000,107092000,51000
110000,114999,2158000,112073000,54000
115000,119999,1748000,117027000,56000
120000,124999,1987000,121965000,54000
125000,129999,1675000,126961000,57000
130000,134999,1474000,131990000,68000
135000,139999,1380000,137101000,66000
140000,144999,1220000,141979000,70000
145000,149999,1111000,147145000,73000
150000,154999,1313000,151768000,61000
155000,159999,1017000,157137000,76000
160000,164999,993000,162080000,88000
165000,169999,761000,167171000,80000
170000,174999,822000,172199000,88000
175000,179999,700000,177157000,99000
180000,184999,677000,182009000,78000
185000,189999,536000,187224000,94000
190000,194999,561000,191951000,97000
195000,199999,431000,197339000,104000
200000,249999,3456000,220874000,410000
250000,1000000000000,4184000,411551000,5980000
